views,content,area,content_tokens
2,  ,0,[]
2,DVE DETI TYDENNI VLOG ,2,"['dve', 'deti', 'tydenni', 'vlog']"
2,celebrating Eid Alone ,3,"['celebr', 'eid', 'alon']"
3,Tang BANXOA Dan De Quay Tro Lai Voi Dam Me ,3,"['tang', 'banxoa', 'dan', 'de', 'quay', 'tro', 'lai', 'voi', 'dam', 'me']"
1,weekend vlog ,2,"['weekend', 'vlog']"
3,aggers WHAT IT TAKES TO WIN D 27 IN THE MLB NOT LOGO MY DONT FINE ME ,4,"['agger', 'what', 'it', 'take', 'to', 'win', 'd', '27', 'in', 'the', 'mlb', 'not', 'logo', 'my', 'dont', 'fine', 'me']"
3,FORSTE FEST 0 LEJLIGHEDEN REKLAME ,3,"['forst', 'fest', '0', 'lejligheden', 'reklam']"
3,  ,0,[]
3,a Enjoy in 4k quality ,2,"['a', 'enjoy', 'in', '4k', 'qualiti']"
2,  ,0,[]
3,"MANALONG P500 CODE BINATION IIVAX YAN' GIVEAWAYS VLOG# 96 VLOGGERS PINA-IYAK SI KAFRESHNESSI DOLAINAB, BEKS. BATTALION. DONEKLA. SKUSTA LEE,BULLY CRAWFORD ",4,"['manalong', 'p500', 'code', 'binat', 'iivax', 'yan', ""'"", 'giveaway', 'vlog', '#', '96', 'vlogger', 'pina-iyak', 'si', 'kafreshnessi', 'dolainab', ',', 'bek', '.', 'battalion', '.', 'donekla', '.', 'skusta', 'lee', ',', 'bulli', 'crawford']"
2,NOSSO DOMINGO ,3,"['nosso', 'domingo']"
2,Moving Vlog ,3,"['move', 'vlog']"
3,Sally's TURKEI VLOG ,2,"['salli', ""'s"", 'turkei', 'vlog']"
3,Mi TOM SAP MAT MANG GIAY KHEN TOO TAN NHA! DO BAG GAU 100.000 VA CAL KET.! ,4,"['mi', 'tom', 'sap', 'mat', 'mang', 'giay', 'khen', 'too', 'tan', 'nha', '!', 'do', 'bag', 'gau', '100.000', 'va', 'cal', 'ket', '.', '!']"
2,KiNDERWAGEN VOOR BABY! ,3,"['kinderwagen', 'voor', 'babi', '!']"
3,weekend MOTHER'S DAY ,3,"['weekend', 'mother', ""'s"", 'day']"
1,self care car VLOG NOVE ON OBRAZY NAKUP OBLECENT ZARA ,4,"['self', 'care', 'car', 'vlog', 'nove', 'on', 'obrazi', 'nakup', 'oblec', 'zara']"
2,8 ,1,['8']
4,  ,0,[]
4,Aaj to Vlog Aana Hi Tha ,3,"['aaj', 'to', 'vlog', 'aana', 'hi', 'tha']"
2,  ,0,[]
2,12 ,2,['12']
2,VL G Grocery Shopping With Julie in 30Min Curfew!? During Lockdown (It Randomly Turned out as a Challenge) Challenge FUN ,4,"['vl', 'g', 'groceri', 'shop', 'with', 'juli', 'in', '30min', 'curfew', '!', '?', 'dure', 'lockdown', '(', 'it', 'randomli', 'turn', 'out', 'as', 'a', 'challeng', ')', 'challeng', 'fun']"
3,  ,0,[]
4,RICH v/s POOR ,3,"['rich', 'v/', 'poor']"
2,A MOTHER'S LIFE You Tabe AshaSudarsan ,3,"['a', 'mother', ""'s"", 'life', 'you', 'tabe', 'ashasudarsan']"
4,DON'T it THINK ANUNG NANGYARi SA BUHOK Ni iON? DUN VICE GANDA ,3,"['do', ""n't"", 'it', 'think', 'anung', 'nangyari', 'sa', 'buhok', 'ni', 'ion', '?', 'dun', 'vice', 'ganda']"
3,Rona start ,3,"['rona', 'start']"
3,COOKIES vlog lebaran taman does samadhon. last day of Sholot Eid ,3,"['cooki', 'vlog', 'lebaran', 'taman', 'doe', 'samadhon', '.', 'last', 'day', 'of', 'sholot', 'eid']"
2,Ena Luna VLOG I PROMENI PITANJE ,2,"['ena', 'luna', 'vlog', 'i', 'promeni', 'pitanj']"
2,moonvlog smarigold ,2,"['moonvlog', 'smarigold']"
4,"At Last! Dumating Na ""Hindi na ako bunso OF wang NEW BLESSING ",4,"['at', 'last', '!', 'dumat', 'na', '``', 'hindi', 'na', 'ako', 'bunso', 'of', 'wang', 'new', 'bless']"
3,  ,0,[]
4,  ,0,[]
